store_number,dba,store_name,address,address_line_2,city,state,zip_code,phone_number,store_hours,wireless,features,latitude,longitude,country,country_code,county,geo_accuracy
56071-286083,Starbucks US,FM 1626 & FM 967,230 S. FM 1626 Ste 100,,Buda,TX,78610,(512) 234-0670,"Today: 5:00 AM to 8:00 PM, Tomorrow: 5:00 AM to 8:00 PM, Wednesday: 5:00 AM to 8:00 PM, Thursday: 5:00 AM to 8:00 PM, Friday: 5:00 AM to 8:00 PM, Saturday: 5:30 AM to 8:00 PM, Sunday: 6:00 AM to 8:00 PM,",Wireless Hotspot,Oven-warmed Food|Wireless Hotspot|Drive-Thru|Redeem Rewards|Starbucks Wi-Fi|Mobile Order and Pay|Nitro Cold Brew|Non-SVC MOP|In store|tbd - UCP|tbd - Uber Eats|tbd - Delivery|,30.09573488,-97.87550946,United States,US,Hays County,AGGDATA_VERIFIED: ROOFTOP
52483-275146,Starbucks US,Hwy 71 & Cardinal Loop,2401 Cardinal Loop,,Austin,TX,78617,(737) 615-9740,"Today: 4:30 AM to 9:00 PM, Tomorrow: 4:30 AM to 9:00 PM, Wednesday: 4:30 AM to 9:00 PM, Thursday: 4:30 AM to 9:00 PM, Friday: 4:30 AM to 9:00 PM, Saturday: 4:30 AM to 9:00 PM, Sunday: 4:30 AM to 9:00 PM,",,Oven-warmed Food|Wireless Hotspot|Redeem Rewards|Starbucks Wi-Fi|Mobile Order and Pay|Non-SVC MOP|In store|tbd - UCP|,30.213282,-97.658131,United States,US,Travis County,PREMISE: ROOFTOP
27233-246887,Starbucks US,Hwy 290 & RR 12 - Dripping Springs,108 East US HWY 290 West,,Dripping Springs,TX,78620,(512) 200-1895,"Today: 5:00 AM to 7:00 PM, Tomorrow: 5:00 AM to 7:00 PM, Wednesday: 5:00 AM to 7:00 PM, Thursday: 5:00 AM to 7:00 PM, Friday: 5:00 AM to 7:00 PM, Saturday: 5:00 AM to 7:00 PM, Sunday: 5:30 AM to 7:00 PM,",,Oven-warmed Food|Wireless Hotspot|Redeem Rewards|In store|,30.191203586571536,-98.08590296655893,United States,US,Hays County,AGGDATA_VERIFIED: ROOFTOP
62792-286081,Starbucks US,Hwy 290 & Hwy 95,1380 US Hwy 290,,Elgin,TX,78621,(737) 537-2053,"Today: 5:00 AM to 9:00 PM, Tomorrow: 5:00 AM to 9:00 PM, Wednesday: 5:00 AM to 9:00 PM, Thursday: 5:00 AM to 9:00 PM, Friday: 5:00 AM to 9:00 PM, Saturday: 5:00 AM to 9:00 PM, Sunday: 5:00 AM to 9:00 PM,",,Oven-warmed Food|Wireless Hotspot|Redeem Rewards|Mobile Order and Pay|Nitro Cold Brew|Non-SVC MOP|In store|Lunch|tbd - UCP|tbd - Uber Eats|tbd - Delivery|,30.35137141,-97.39283626,United States,US,Bastrop County,AGGDATA_VERIFIED: ROOFTOP
57885-290096,Starbucks US,E. Main (290) & S. Eagle St.,1424 E Main Street,,Fredericksburg,TX,78624,(830) 990-1191,"Today: 5:00 AM to 9:00 PM, Tomorrow: 5:00 AM to 9:00 PM, Wednesday: 5:00 AM to 9:00 PM, Thursday: 5:00 AM to 9:00 PM, Friday: 5:00 AM to 9:00 PM, Saturday: 5:00 AM to 9:00 PM, Sunday: 5:00 AM to 9:00 PM,",,Oven-warmed Food|Drive-Thru|Starbucks Wi-Fi|Mobile Order and Pay|Nitro Cold Brew|Non-SVC MOP|In store|Lunch|tbd - UCP|,30.25793332,-98.85200829,United States,US,Gillespie County,AGGDATA_VERIFIED: ROOFTOP
29566-254291,Starbucks US,SH 48 & SH 100,1754 SH 100,,Port Isabel,TX,78578,(956) 551-5431,"Today: 5:30 AM to 10:00 PM, Tomorrow: 5:30 AM to 10:00 PM, Wednesday: 5:30 AM to 10:00 PM, Thursday: 5:30 AM to 10:00 PM, Friday: 5:30 AM to 10:00 PM, Saturday: 5:30 AM to 10:00 PM, Sunday: 5:30 AM to 10:00 PM,",Wireless Hotspot,Oven-warmed Food|Drive-Thru|Starbucks Wi-Fi|Mobile Order and Pay|Nitro Cold Brew|Non-SVC MOP|In store|Lunch|tbd - UCP|tbd - Uber Eats|tbd - Delivery|,26.0743168,-97.2278496,United States,US,Cameron County,STREET_ADDRESS: ROOFTOP
14860-118064,Starbucks US,Wolf Ranch Town Center,1003 W University,Wolf Ranch,Georgetown,TX,78626,(512) 868-6731,"Today: 5:00 AM to 9:00 PM, Tomorrow: 5:00 AM to 9:00 PM, Wednesday: 5:00 AM to 9:00 PM, Thursday: 5:00 AM to 9:00 PM, Friday: 5:00 AM to 9:00 PM, Saturday: 5:00 AM to 9:00 PM, Sunday: 5:00 AM to 9:00 PM,",,Oven-warmed Food|Drive-Thru|Redeem Rewards|Starbucks Wi-Fi|Mobile Order and Pay|Nitro Cold Brew|Non-SVC MOP|In store|Lunch|tbd - UCP|tbd - Uber Eats|tbd - Delivery|,30.632321,-97.693286,United States,US,Williamson County,PREMISE: ROOFTOP
17649-165367,Starbucks US,Williams Drive & DB Wood,4410 Williams Drive,,Georgetown,TX,78628,(512) 868-0284,"Today: 5:00 AM to 9:00 PM, Tomorrow: 5:00 AM to 9:00 PM, Wednesday: 5:00 AM to 9:00 PM, Thursday: 5:00 AM to 9:00 PM, Friday: 5:00 AM to 9:00 PM, Saturday: 5:00 AM to 9:00 PM, Sunday: 5:30 AM to 9:00 PM,",Wireless Hotspot,Redeem Rewards|In store|,30.6814784,-97.71577539,United States,US,Williamson County,AGGDATA_VERIFIED: ROOFTOP
76420-93272,Starbucks US,Target Georgetown 1982,1021 W University,,Georgetown,TX,78628,(512) 869-3163,"Today: 8:00 AM to 9:00 PM, Tomorrow: 8:00 AM to 9:00 PM, Wednesday: 8:00 AM to 9:00 PM, Thursday: 8:00 AM to 9:00 PM, Friday: 8:00 AM to 9:00 PM, Saturday: 8:00 AM to 9:00 PM, Sunday: 8:00 AM to 9:00 PM,",,Oven-warmed Food|Wireless Hotspot|Redeem Rewards|In store|,30.630478,-97.698696,United States,US,Williamson County,PREMISE: ROOFTOP
19112-177185,Starbucks US,83 Expy & Morrison,4247 N Expressway 77,,Brownsville,TX,78520,(956) 350-8024,"Today: 5:00 AM to 11:00 PM, Tomorrow: 5:00 AM to 11:00 PM, Wednesday: 5:00 AM to 11:00 PM, Thursday: 5:00 AM to 11:00 PM, Friday: 5:00 AM to 11:00 PM, Saturday: 5:00 AM to 11:00 PM, Sunday: 5:00 AM to 11:00 PM,",,Oven-warmed Food|Drive-Thru|Redeem Rewards|Starbucks Wi-Fi|Mobile Order and Pay|Nitro Cold Brew|Non-SVC MOP|In store|Lunch|tbd - UCP|tbd - Uber Eats|tbd - Delivery|,25.965206647025493,-97.51243611797692,United States,US,Cameron County,AGGDATA_VERIFIED: ROOFTOP
